co_ies,no_ies,sg_ies,sg_uf,co_municipio,no_municipio,no_sitio_ies
666,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,2910800,Feira de Santana,http://csa.uefs.br/index.php/sisu251/inicial
9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4106902,Curitiba,https://www.cops.uel.br/v2/Selecao/DetalharSelecao/Selecao/350
57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,4106902,Curitiba,https://daa.uem.br/
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG,3106200,Belo Horizonte,www.uemg.br
1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS,5002704,Campo Grande,https://www.uems.br/
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,3301009,Campos dos Goytacazes,www.uenf.br
15015,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UENP,PR,4106902,Curitiba,https://uenp.edu.br/
550,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,2504009,Campina Grande,https://uepb.edu.br/prograd/sisu/
71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN,2408003,Mossoró,https://portal.uern.br/proeg/sisu/psvi-sisu-uern-2025/
688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA,2933307,Vitória da Conquista,www.uesb.br
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,2913606,Ilhéus,https://www.uesc.br/
756,UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI,2211001,Teresina,https://uespi.br/
4925,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,3547809,Santo André,https://prograd.ufabc.edu.br/sisu
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,1200401,Rio Branco,https://www.ufac.br/
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,2704302,Maceió,www.copeve.ufal.br
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,1302603,Manaus,proeg.ufam.edu.br
25275,UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,PE,2606002,Garanhuns,ufape.edu.br/sisu
578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,2927408,Salvador,https://ingresso.ufba.br/inicio
583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,2304400,Fortaleza,www.sisu.ufc.br
18759,UNIVERSIDADE FEDERAL DO CARIRI,UFCA,CE,2307304,Juazeiro do Norte,https://www.ufca.edu.br/admissao/graduacao/sisu/
25274,UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,GO,5205109,Catalão,https://sisu.ufcat.edu.br/
2564,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,2504009,Campina Grande,https://comprov.ufcg.edu.br/
717,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,4314902,Porto Alegre,https://ufcspa.edu.br/estude-na-ufcspa/graduacao/sisu
25277,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,UFDPAR,PI,2207702,Parnaíba,www.ufdpar.edu.br
589,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,2408003,Mossoró,sisu.ufersa.edu.br
573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3205309,Vitória,https://sisu.ufes.br/2025
572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,3303302,Niterói,https://portal.coseac.uff.br/sisu20251
15121,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,4204202,Chapecó,www.uffs.edu.br/estudenauffs
584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,5208707,Goiânia,www.sisu.ufg.br
4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,5003702,Dourados,https://portal.ufgd.edu.br/coordenadoria/centro-de-selecao/index
25282,UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,GO,5211909,Jataí,https://cga.jatai.ufg.br/
576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,3136702,Juiz de Fora,www.ufjf.br/cdara
592,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,3138203,Lavras,https://drca.ufla.br/graduacao/matriculas
548,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,2111300,São Luís,sisu.ufma.br
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,3106200,Belo Horizonte,www.ufmg.br/sisu
694,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,5002704,Campo Grande,https://ingresso.ufms.br/sisu/
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,5103403,Cuiabá,https://www.ufmt.br/unidade/ingresso
29118,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS,UFNT,TO,1702109,Araguaína,https://ufnt.edu.br/processos-seletivos/
18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,BA,2903201,Barreiras,https://ufob.edu.br/sisu2025
6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,3146107,Ouro Preto,https://www.vestibular.ufop.br
579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB,2507507,João Pessoa,www.prg.ufpb.br
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,2611606,Recife,https://sisu.ufpe.br/
634,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4314407,Pelotas,https://wp.ufpel.edu.br/sisu/
5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI,2211001,Teresina,https://ufpi.br/sisu-cspe
571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4106902,Curitiba,https://servicos.nc.ufpr.br/PortalNC/Concurso?concurso=SISU2025
590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,1501402,Belém,https://proen.ufra.edu.br
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA,2909802,Cruz das Almas,https://www.ufrb.edu.br/portal/processos-seletivos-de-graduacao
581,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,4314902,Porto Alegre,https://www.ufrgs.br/sisu
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,3304557,Rio de Janeiro,https://acessograduacao.ufrj.br/
570,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,2408102,Natal,https://sisu.ufrn.br/
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,2611606,Recife,https://www.ufrpe.br/ 
789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR,1400100,Boa Vista,https://ufrr.br/
574,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,3305554,Seropédica,https://r1.ufrrj.br/sisu/
3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE,2806701,São Cristóvão,www.sisu.ufs.br
18812,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFSB,BA,2914802,Itabuna,https://www.ufsb.edu.br/
585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,4205407,Florianópolis,https://sisu2025.ufsc.br
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,3548906,São Carlos,www.ingresso.ufscar.br
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,MG,3162500,São João del Rei,https://ufsj.edu.br/vestibular/sisu_2025.php
582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4316907,Santa Maria,https://www.ufsm.br/pro-reitorias/prograd/sisu
3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,1721000,Palmas,https://www.uft.edu.br/concursos-e-selecoes
597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,3170107,Uberaba,https://uftm.edu.br/ingresso2
